Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude
Afghan Darbar Restaurant,"Afghan, Kebab, Beverages",600," Lajpat Nagar 2, New Delhi",4.1,455,3295,https://www.zomato.com/ncr/afghan-darbar-restaurant-lajpat-nagar-2-new-delhi,"E-96, Lajpat Nagar 2, New Delhi",911150000000,28.57049597,77.24236418
Alrumi Food Company,"North Indian, Mughlai, Rolls",600," DLF Phase 4, Gurgaon",4.1,237,2479,https://www.zomato.com/ncr/alrumi-food-company-dlf-phase-4,"5442, Lotus Lane, DLF Phase 4, Gurgaon",919667000000,28.46215921,77.08168108
M2 Meat Murga,"North Indian, Mughlai, Chinese",600," Sector 71, Noida",4.1,231,1961,https://www.zomato.com/ncr/m2-meat-murga-sector-71-noida,"BH-93, Sector 71, Noida",918800000000,28.597525,77.385979
Gut Gullie,"Fast Food, Healthy Food, Mexican",400," PVR City Centre Mall, MG Road, Gurgaon",4.1,182,146,https://www.zomato.com/ncr/gut-gullie-mg-road,"2nd Floor, PVR City Center Mall, MG Road, Gurgaon",918559000000,28.47944116,77.08088547
Mini Sweets House,"Mithai, Street Food, South Indian, Chinese, Fast Food",300," Sector 22, Faridabad",4.1,491,13300,https://www.zomato.com/ncr/mini-sweets-house-sector-22-faridabad,"Shop Number 17, 18, Main Market, Sector 22, Faridabad",911294000000,28.36471132,77.29447995
Baker's Stop,"Bakery, Fast Food",250," Gujranwala Town, New Delhi",4.1,337,368,https://www.zomato.com/ncr/bakers-stop-gujranwala-town-new-delhi,"A-353, Near Malwa Taxi Stand Crossing, Derawal Nagar, Gujranwala Town, New Delhi",911144000000,28.70035144,77.18877196
HUDBA,"Continental, Chinese, North Indian, Italian, Beverages",1700," M Block Market, Greater Kailash 1 (GK1), New Delhi",4.1,513,67,https://www.zomato.com/ncr/hudba-greater-kailash-gk-1-new-delhi,"M-10, First Floor, M Block Market, Greater Kailash 1 (GK 1), New Delhi",919818000000,28.55039582,77.23493177
Moti Mahal Delux Tandoori Trail,"North Indian, Mughlai, Chinese, Kebab, Biryani",1100," Sector 110, Noida",4.1,213,2069,https://www.zomato.com/ncr/moti-mahal-delux-tandoori-trail-sector-110-noida,"Opposite Pathways School, Main Road, Sector 104, Near Sector 110, Noida",918882000000,28.53905852,77.36539073
Dilli 6 On Wheels,"North Indian, Street Food",300," Sector 31, Gurgaon",4.1,2133,36700,https://www.zomato.com/ncr/dilli-6-on-wheels-sector-31,"Shop 84, 87, HUDA Shopping Complex, Near Medanta Hospital, Sector 32, Near Sector 31, Gurgaon",919873000000,28.44574113,77.04458982
Amritsari Kulcha King,North Indian,200," NIT, Faridabad",4.1,520,19900,https://www.zomato.com/ncr/amritsari-kulcha-king-nit-faridabad,"Near Neelam Petrol Pump, NIT, Faridabad",918077000000,28.39240556,77.30364326
Anand Vaishno Dhaba,North Indian,300," Uttam Nagar, New Delhi",4.1,511,8230,https://www.zomato.com/ncr/anand-vaishno-dhaba-uttam-nagar-new-delhi,"WZ 53, Dayal Sar Road, Near Adarsh Model School, Uttam Nagar, New Delhi",919873000000,28.61812856,77.05500048
Zufruta Cafe & Juice Lounge,"Italian, Mexican, Lebanese, Fast Food, Burger, Sandwich, Beverages",500," Vaishali, Ghaziabad",4.1,223,0,https://www.zomato.com/ncr/zufruta-cafe-juice-lounge-vaishali-ghaziabad,"4/287, Sector 4, Vaishali, Ghaziabad",919990000000,28.64916488,77.34310996
The Punjabiis,"North Indian, Chinese, Kebab, Mughlai, Beverages",2000," The Great India Place, Sector 38, Noida",4.1,1292,142,https://www.zomato.com/ncr/the-punjabiis-sector-38-noida,"325-A, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Noida",919873000000,28.56707471,77.32546136
Pifi Pizza,"Pizza, Fast Food",600," Rohini, New Delhi",4.1,244,2719,https://www.zomato.com/ncr/pifi-pizza-rohini-new-delhi,"B2/1, Sector 18, Rohini, New Delhi",919872000000,28.73634539,77.13765342
BRYC Cafe & Restaurant,"North Indian, Chinese, Fast Food",600," Najafgarh, New Delhi",4.1,489,4649,https://www.zomato.com/ncr/bryc-cafe-restaurant-najafgarh-new-delhi,"Shop 41, Property 1471-1472, Doctors Lane, Saini Mohalla, Najafgarh, New Delhi",918448000000,28.6134556,76.98558055
Delicious Mood,"North Indian, Chinese, Mughlai, Biryani, Fast Food",450," NIT, Faridabad",4.1,375,7592,https://www.zomato.com/ncr/delicious-mood-2-nit-faridabad,"1K-59, Ground Floor, Opposite Santo Gurudwara, NIT, Faridabad",917290000000,28.38348247,77.30293684
Cold Rock Cafe,"Pizza, Fast Food, Chinese, Desserts, Beverages",500," Sector 72, Noida",4.1,500,23500,https://www.zomato.com/ncr/cold-rock-cafe-sector-72-noida,"Shop 28 & 29, Amarpali Princely Estate Market, Gate 2, Sector 76, Near Sector 72, Noida",919891000000,28.56634327,77.38143705
